agregate_id,agregate_name,category_id,category_name
12,"Aceite, especias y salsas",112,"Aceite, vinagre y sal"
12,"Aceite, especias y salsas",115,Especias
12,"Aceite, especias y salsas",116,"Mayonesa, ketchup y mostaza"
12,"Aceite, especias y salsas",117,Otras salsas
18,Agua y refrescos,156,Agua
18,Agua y refrescos,163,Isotónico y energético
18,Agua y refrescos,158,Refresco de cola
18,Agua y refrescos,159,Refresco de naranja y de limón
18,Agua y refrescos,161,Tónica y bitter
18,Agua y refrescos,162,Refresco de té y sin gas
15,Aperitivos,135,Aceitunas y encurtidos
15,Aperitivos,133,Frutos secos y fruta desecada
15,Aperitivos,132,Patatas fritas y snacks
13,"Arroz, legumbres y pasta",118,Arroz
13,"Arroz, legumbres y pasta",121,Legumbres
13,"Arroz, legumbres y pasta",120,Pasta y fideos
9,"Azúcar, caramelos y chocolate",89,Azúcar y edulcorante
9,"Azúcar, caramelos y chocolate",95,Chicles y caramelos
9,"Azúcar, caramelos y chocolate",92,Chocolate
9,"Azúcar, caramelos y chocolate",97,Golosinas
9,"Azúcar, caramelos y chocolate",90,Mermelada y miel
24,Bebé,216,Alimentación infantil
24,Bebé,219,Biberón y chupete
24,Bebé,218,Higiene y cuidado
24,Bebé,217,Toallitas y pañales
19,Bodega,164,Cerveza
19,Bodega,166,Cerveza sin alcohol
19,Bodega,181,Licores
19,Bodega,174,Sidra y cava
19,Bodega,168,Tinto de verano y sangría
19,Bodega,170,Vino blanco
19,Bodega,173,Vino lambrusco y espumoso
19,Bodega,171,Vino rosado
19,Bodega,169,Vino tinto
8,"Cacao, café e infusiones",86,Cacao soluble y chocolate a la taza
8,"Cacao, café e infusiones",81,Café cápsula y monodosis
8,"Cacao, café e infusiones",83,Café molido y en grano
8,"Cacao, café e infusiones",84,Café soluble y otras bebidas
8,"Cacao, café e infusiones",88,Té e infusiones
3,Carne,46,Arreglos
3,Carne,38,Aves y pollo
3,Carne,47,Carne congelada
3,Carne,37,Cerdo
3,Carne,42,Conejo y cordero
3,Carne,43,Embutido
3,Carne,44,Hamburguesas y picadas
3,Carne,40,Vacuno
3,Carne,45,Empanados y elaborados
7,Cereales y galletas,78,Cereales
7,Cereales y galletas,80,Galletas
7,Cereales y galletas,79,Tortitas
4,Charcutería y quesos,48,Aves y jamón cocido
4,Charcutería y quesos,52,Bacón y salchichas
4,Charcutería y quesos,49,Chopped y mortadela
4,Charcutería y quesos,51,Embutido curado
4,Charcutería y quesos,50,Jamón serrano
4,Charcutería y quesos,58,Paté y sobrasada
4,Charcutería y quesos,54,"Queso curado, semicurado y tierno"
4,Charcutería y quesos,56,"Queso lonchas, rallado y en porciones"
4,Charcutería y quesos,53,"Queso untable, fresco y especialidades"
17,Congelados,147,Arroz y pasta
17,Congelados,148,Carne
17,Congelados,145,Fruta y verdura
17,Congelados,154,Helados
17,Congelados,155,Hielo
17,Congelados,150,Marisco
17,Congelados,149,Pescado
17,Congelados,151,Pizzas
17,Congelados,884,Rebozados
17,Congelados,152,Tartas y churros
14,"Conservas, caldos y cremas",122,Atún y otras conservas de pescado
14,"Conservas, caldos y cremas",123,Berberechos y mejillones
14,"Conservas, caldos y cremas",127,Conservas de verdura y frutas
14,"Conservas, caldos y cremas",130,Gazpacho y cremas
14,"Conservas, caldos y cremas",129,Sopa y caldo
14,"Conservas, caldos y cremas",126,Tomate
21,Cuidado del cabello,201,Acondicionador y mascarilla
21,Cuidado del cabello,199,Champú
21,Cuidado del cabello,203,Coloración cabello
21,Cuidado del cabello,202,Fijación cabello
20,Cuidado facial y corporal,192,Afeitado y cuidado para hombre
20,Cuidado facial y corporal,189,Cuidado corporal
20,Cuidado facial y corporal,185,Cuidado e higiene facial
20,Cuidado facial y corporal,191,Depilación
20,Cuidado facial y corporal,188,Desodorante
20,Cuidado facial y corporal,187,Gel y jabón de manos
20,Cuidado facial y corporal,186,Higiene bucal
20,Cuidado facial y corporal,190,Higiene íntima
20,Cuidado facial y corporal,194,Manicura y pedicura
20,Cuidado facial y corporal,196,Perfume y colonia
20,Cuidado facial y corporal,198,Protector solar y aftersun
23,Fitoterapia y parafarmacia,213,Fitoterapia
23,Fitoterapia y parafarmacia,214,Parafarmacia
1,Fruta y verdura,27,Fruta
1,Fruta y verdura,28,Lechuga y ensalada preparada
1,Fruta y verdura,29,Verdura
6,"Huevos, leche y mantequilla",77,Huevos
6,"Huevos, leche y mantequilla",72,Leche y bebidas vegetales
6,"Huevos, leche y mantequilla",75,Mantequilla y margarina
26,Limpieza y hogar,226,Detergente y suavizante ropa
26,Limpieza y hogar,237,"Estropajo, bayeta y guantes"
26,Limpieza y hogar,241,Insecticida y ambientador
26,Limpieza y hogar,234,Lejía y líquidos fuertes
26,Limpieza y hogar,235,Limpiacristales
26,Limpieza y hogar,233,Limpiahogar y friegasuelos
26,Limpieza y hogar,231,Limpieza baño y WC
26,Limpieza y hogar,230,Limpieza cocina
26,Limpieza y hogar,232,Limpieza muebles y multiusos
26,Limpieza y hogar,229,Limpieza vajilla
26,Limpieza y hogar,243,Menaje y conservación de alimentos
26,Limpieza y hogar,238,Papel higiénico y celulosa
26,Limpieza y hogar,239,Pilas y bolsas de basura
26,Limpieza y hogar,244,Utensilios de limpieza y calzado
22,Maquillaje,206,Bases de maquillaje y corrector
22,Maquillaje,207,Colorete y polvos
22,Maquillaje,208,Labios
22,Maquillaje,210,Ojos
22,Maquillaje,212,Pinceles y brochas
2,Marisco y pescado,32,Marisco
2,Marisco y pescado,34,Pescado congelado
2,Marisco y pescado,31,Pescado fresco
2,Marisco y pescado,36,Salazones y ahumados
25,Mascotas,222,Gato
25,Mascotas,221,Perro
25,Mascotas,225,Otros
5,Panadería y pastelería,65,Bollería de horno
5,Panadería y pastelería,66,Bollería envasada
5,Panadería y pastelería,69,Harina y preparado repostería
5,Panadería y pastelería,59,Pan de horno
5,Panadería y pastelería,60,Pan de molde y otras especialidades
5,Panadería y pastelería,62,Pan tostado y rallado
5,Panadería y pastelería,64,"Picos, rosquilletas y picatostes"
5,Panadería y pastelería,68,Tartas y pasteles
5,Panadería y pastelería,71,Velas y decoración
16,Pizzas y platos preparados,897,Listo para Comer
16,Pizzas y platos preparados,138,Pizzas
16,Pizzas y platos preparados,140,Platos preparados calientes
16,Pizzas y platos preparados,142,Platos preparados fríos
11,Postres y yogures,105,Bífidus
11,Postres y yogures,110,Flan y natillas
11,Postres y yogures,111,Gelatina y otros postres
11,Postres y yogures,106,Postres de soja
11,Postres y yogures,103,Yogures desnatados
11,Postres y yogures,109,Yogures griegos
11,Postres y yogures,108,Yogures líquidos
11,Postres y yogures,104,Yogures naturales y sabores
11,Postres y yogures,107,Yogures y postres infantiles
10,Zumos,99,Fruta variada
10,Zumos,100,Melocotón y piña
10,Zumos,143,Naranja
10,Zumos,98,Tomate y otros sabores
